Data Medicao;EVAPORACAO DO PICHE(mm);INSOLACAO TOTAL(h);PRECIPITACAO TOTAL(mm);TEMPERATURA MAXIMA(°C);TEMPERATURA MEDIA COMPENSADA(°C);TEMPERATURA MINIMA(°C);UMIDADE RELATIVA DO AR MEDIA (%);UMIDADE RELATIVA DO AR MINIMA (%);VENTO VELOCIDADE MEDIA (m/s)
01/01/2000;null;0;58;27;22,62;20,3;95,5;86;1,933333
02/01/2000;null;0;58,9;22;20,36;19,2;100;98;0,766667
03/01/2000;null;0;138,7;23,6;21,4;18,6;97,75;97;0,433333
04/01/2000;null;0,8;18,6;27,6;22,88;18,8;91,75;77;0
05/01/2000;null;6;8,1;32,2;24,32;19,4;78,25;47;1,066667
06/01/2000;null;7,5;3,7;33;25,04;20,4;79;49;1,3
07/01/2000;null;8,1;6;32,4;25,2;19,8;74,25;39;2,866667
08/01/2000;null;9,5;0;31,2;25,84;20,2;68,5;46;2,633333
09/01/2000;null;11,5;0;32;25,52;19,2;61,75;42;2,333333
10/01/2000;null;10,3;0;32,8;25,88;18,6;59;38;0,666667
11/01/2000;null;11,9;0;34;26,2;19,8;55,5;37;0,666667
12/01/2000;null;10,3;0;33;25,36;20,2;68,25;43;2,433333
13/01/2000;null;7,2;0,7;33;24,52;19,8;80;46;0
14/01/2000;null;4,8;7;32;24,36;20,2;91;78;2,366667
15/01/2000;null;7,9;1,6;34,6;24,8;18,6;80;43;0,866667
16/01/2000;null;2,7;6,5;31;23,68;20,6;88;59;3,2
17/01/2000;null;8,2;23,2;34;26;20,2;72,5;42;2,433333
18/01/2000;null;7,3;0,3;33;26,32;20,2;76;55;3,4
19/01/2000;null;7,2;0;33;25,8;23;81;51;2,3
20/01/2000;null;7,1;58,7;28,2;23,28;19,8;69,75;58;2,5
21/01/2000;null;1,3;0;25,4;22,24;18,4;83,75;69;0,766667
22/01/2000;null;9,1;0;31,2;24,76;20;72,75;46;1,333333
23/01/2000;null;8,7;0;31,6;24,96;19,6;67,75;54;1,633333
24/01/2000;null;4,7;0,9;30,4;25,32;21,2;74;58;1,533333
25/01/2000;null;8,2;0;31,8;26,04;22,4;75,5;58;2,4
26/01/2000;null;0,9;9,6;27,2;23,12;21,2;91,75;78;2,3
27/01/2000;null;0;23,1;22;20,24;18,2;89,75;82;2,2
28/01/2000;null;2,8;1,4;24,6;20,16;18,2;85,75;63;1,833333
29/01/2000;null;0,1;0,4;23;20,12;18,4;87;74;0,766667
30/01/2000;null;5,1;1,1;28,6;22,92;19;81,75;65;1,666667
